Year,Distance_Category,Commuters
2010,0–1 km,206262
2010,1.1–5 km,768746
2010,5.1–10 km,559614
2010,10.1–50 km,1036465
2010,Plus de 50 km,107911
2011,0–1 km,200274
2011,1.1–5 km,724265
2011,5.1–10 km,588341
2011,10.1–50 km,1072644
2011,Plus de 50 km,112727
2012,0–1 km,198784
2012,1.1–5 km,734794
2012,5.1–10 km,584383
2012,10.1–50 km,1104388
2012,Plus de 50 km,114663
2013,0–1 km,199079
2013,1.1–5 km,734033
2013,5.1–10 km,586758
2013,10.1–50 km,1120895
2013,Plus de 50 km,119583
2014,0–1 km,203563
2014,1.1–5 km,766206
2014,5.1–10 km,610662
2014,10.1–50 km,1183774
2014,Plus de 50 km,121633
2015,0–1 km,201096
2015,1.1–5 km,791716
2015,5.1–10 km,593463
2015,10.1–50 km,1209395
2015,Plus de 50 km,128327
2016,0–1 km,197618
2016,1.1–5 km,739364
2016,5.1–10 km,616822
2016,10.1–50 km,1228676
2016,Plus de 50 km,129985
2017,0–1 km,196729
2017,1.1–5 km,736911
2017,5.1–10 km,627155
2017,10.1–50 km,1253099
2017,Plus de 50 km,134714
2018,0–1 km,218805
2018,1.1–5 km,765311
2018,5.1–10 km,608336
2018,10.1–50 km,1251111
2018,Plus de 50 km,125233
2019,0–1 km,213800
2019,1.1–5 km,813792
2019,5.1–10 km,624506
2019,10.1–50 km,1283906
2019,Plus de 50 km,125320
2020,0–1 km,214507
2020,1.1–5 km,770722
2020,5.1–10 km,601346
2020,10.1–50 km,1188609
2020,Plus de 50 km,93922
2021,0–1 km,219356
2021,1.1–5 km,796020
2021,5.1–10 km,607833
2021,10.1–50 km,1199645
2021,Plus de 50 km,95799
2022,0–1 km,217624
2022,1.1–5 km,802198
2022,5.1–10 km,623597
2022,10.1–50 km,1246719
2022,Plus de 50 km,99947
2023,0–1 km,215133
2023,1.1–5 km,803664
2023,5.1–10 km,642774
2023,10.1–50 km,1268643
2023,Plus de 50 km,104979
